Tran Date,CHQNO,PARTICULARS,DR,CR,BAL,SOL
07-10-2016,-,AXISDIRECT/Z847486/07-10-2016/05:10,8668.05, ,87200.54,315
10-10-2016,-,IMPS/P2A/628411256801/917767807694/, ,500,87700.54,100
11-10-2016,-,ECOM PUR/BHARTI AIRTEL/MUMBAI/111016/15:36,220, ,87480.54,315
11-10-2016,-,ECOM PUR/MSRTC/MUMBAI/111016/21:00,449.83, ,87030.71,315
13-10-2016,-,ECOM PUR/FLIPKART.COM/Banglore/131016/14:45,339, ,86691.71,315
14-10-2016,-,ECOM PUR/www.airtel.in/Mumbai/141016/11:40,130, ,86561.71,315
20-10-2016,-,ATM-CASH/kbl pune-baner/PUNE/201016,10000, ,76561.71,315
20-10-2016,-,ATM-CASH/kbl pune-baner/PUNE/201016,7000, ,69561.71,315
21-10-2016,-,MOB/TPFT/DEEPAK PANDE/043010100001767,600, ,68961.71,315
21-10-2016,-,MOB/TPFT/SANCHIT DEEPAK /911010024955726,30000, ,38961.71,315
22-10-2016,-,ATM-CASH/KARAN PLAZA  WARJE/PUNE/221016,10000, ,28961.71,315
22-10-2016,-,ATM-CASH/KARAN PLAZA  WARJE/PUNE/221016,3000, ,25961.71,315
24-10-2016,-,ATM-CASH/ZUNJAR WADI/PUNE/231016,1900, ,24061.71,315
24-10-2016,-,ATM-CASH/BANER        PUNE/PUNE/241016,2000, ,22061.71,315
25-10-2016,-,ECOM PUR/www.airtel.in/Mumbai/251016/14:23,130, ,21931.71,315
26-10-2016,-,AXISDIRECT/A201676/26-10-2016/06:10,1934.34, ,19997.37,315
28-10-2016,-,NEFT/CITIN16702979558/ADP INDIA PRIVATE LIMITED/ME, ,37319,57316.37,2
28-10-2016,-,MOB/TPFT/SANCHIT DEEPAK /911010024955726,20500, ,36816.37,315
03-11-2016,-,NEFT/MB/AXMB163086422262/kokil owner,6667, ,30149.37,434
03-11-2016,-,ECOM PUR/WWW MCDELIVER/GURGAON/031116/13:42,286, ,29863.37,315
03-11-2016,-,AXISDIRECT/A386238/03-11-2016/05:11,1481.48, ,28381.89,315
03-11-2016,-,ECOM PUR/www.airtel.in/Mumbai/031116/18:55,500, ,27881.89,315
07-11-2016,-,ECOM PUR/MSRTC/MUMBAI/061116/12:30,1071.13, ,26810.76,315
07-11-2016,-,ECOM PUR/www.airtel.in/Mumbai/061116/12:55,144, ,26666.76,315
07-11-2016,-,AXISDIRECT/A442468/07-11-2016/10:11,2500, ,24166.76,315
07-11-2016,-,AXISDIRECT/A464272/07-11-2016/06:11,8785.05, ,15381.71,315
07-11-2016,-,POS/BANJARA HILLS/PUNE/071116/22:21,710, ,14671.71,315
08-11-2016,-,NEFT/MB/AXMB163138026917/Aashish,1445, ,13226.71,306
12-11-2016,-,ECOM PUR/WWW OLACABS C/GURGAON/121116/20:18,999, ,12227.71,315
15-11-2016,-,ECS/ICICI PRUDENTIAL LIF/1786934/AXIS BANK  UTB, ,88,12315.71,2
16-11-2016,-,AXISDIRECT/A695774/16-11-2016/05:11,2339.45, ,9976.26,315
17-11-2016,-,POS/BHARAT PETROLEUM /PUNE/181116/00:43,380, ,9596.26,315
19-11-2016,-,MOB/TPFT/PRAKASH PANDE/911010039129543, ,2250,11846.26,1436
19-11-2016,-,IMPS/P2A/632421768103/918698972467/Borrowed mone, ,500,12346.26,100
20-11-2016,-,POS/DMART/PUNE/201116/21:02,429, ,11917.26,315
21-11-2016,-,NEFT/MB/AXMB163260909681/pragati,2250, ,9667.26,617
24-11-2016,-,POS/PRIME MEDICINE/PUNE/241116/21:56,22, ,9645.26,315
25-11-2016,-,POS/APACHE THE FLUID/PUNE/251116/22:30,907, ,8738.26,315
26-11-2016,-,POS/E-Square/PUNE/261116/10:34,280, ,8458.26,315
26-11-2016,-,ECOM PUR/Book My Show/Mumbai/261116/10:41,184.52, ,8273.74,315
26-11-2016,-,IMPS/P2A/633121247920/918698972467/Alcohol night, ,442,8715.74,100
28-11-2016,-,ECOM PUR/PAYTM/NOIDA/271116/01:17,1020, ,7695.74,315
28-11-2016,-,MOB/MBR/VZ8LHRXK0318/9860450053/snow,200, ,7495.74,315
30-11-2016,-,NEFT/CITIN16715395065/ADP INDIA PRIVATE LIMITED/ME, ,37320,44815.74,2352
30-11-2016,-,BIRLA MFDIV-1017914298, ,345.92,45161.66,4
30-11-2016,-,ECOM PUR/Book My Show/Mumbai/301116/21:14,393.6, ,44768.06,315
01-12-2016,-,NEFT/MB/AXMB163363349474/kokil owner,6667, ,38101.06,677
03-12-2016,-,POS/THE BURGER BARN C/PUNE/031216/16:55,1657, ,36444.06,315
05-12-2016,-,ECOM PUR/www.airtel.in/Mumbai/041216/17:48,250, ,36194.06,315
05-12-2016,-,IMPS/P2A/634015642116/918806255450/INETIMPS00016, ,787,36981.06,100
06-12-2016,-,NEFT/MB/AXMB163414790547/Prasanta,180, ,36801.06,546
06-12-2016,-,NEFT/MB/AXMB163414791369/Annapurna,1079, ,35722.06,25
06-12-2016,-,IMPS/P2A/634120580877/918698972467/No comments, ,455,36177.06,100
07-12-2016,-,AXISDIRECT/B131514/07-12-2016/09:12,2500, ,33677.06,315
07-12-2016,-,MOB/TPFT/SWAPNIL NEGI/916010022397367, ,588,34265.06,1564
07-12-2016,-,AXISDIRECT/B145083/07-12-2016/04:12,8240.48, ,26024.58,315
07-12-2016,-,POS/APACHE THE FLUID/PUNE/071216/22:41,2045, ,23979.58,315
09-12-2016,-,POS/HOTEL AMRITA /PUNE/091216/22:28,757, ,23222.58,315
12-12-2016,-,ECOM PUR/Paytm Mobile/Noida/111216/12:53,300, ,22922.58,315
12-12-2016,-,POS/D MART/PUNE/111216/13:33,117, ,22805.58,315
12-12-2016,-,MOB/TPFT/SWAPNIL NEGI/916010022397367, ,983,23788.58,1564
12-12-2016,-,POS/SAFFRON HOTELS PV/PUNE/111216/22:31,1425, ,22363.58,315
14-12-2016,-,PUR/REV/HOTEL AMRI/DT.09-DEC-16, ,757,23120.58,100
14-12-2016,-,ECOM PUR/PayTm Mobile/Noida/141216/21:57,500, ,22620.58,315
17-12-2016,-,IMPS/P2A/635221036669/918698972467/Chill, ,720,23340.58,100
19-12-2016,-,POS/APACHE THE FLUID/PUNE/191216/21:36,2337, ,21003.58,315
20-12-2016,-,POS/D MART/PUNE/201216/19:35,238, ,20765.58,315
21-12-2016,486643,BRN-CLG-CHQ PAID TO Mr RAMDAS MARUTI ANDHALE,900, ,19865.58,2567
21-12-2016,486644,BRN-CLG-CHQ PAID TO Mr RAMDAS MARUTI ANDHALE,450, ,19415.58,2567
23-12-2016,-,POS/RICHIES CAKE SHOP/PUNE/231216/21:13,340, ,19075.58,315
24-12-2016,-,ECOM PUR/AMAZON SELLER/BANGALORE/241216/23:13,416.5, ,18659.08,315
26-12-2016,-,ECOM PUR/MSRTC/MUMBAI/251216/11:39,446, ,18213.08,315
26-12-2016,-,POS/MANGO SWEETS/PUNE/251216/22:42,250, ,17963.08,315
26-12-2016,-,POS/HOTEL SHIVSAGAR R/PUNE/251216/23:03,260, ,17703.08,315
26-12-2016,-,POS/SUBWAY/PUNE/261216/18:38,225, ,17478.08,315
26-12-2016,-,POS/D MART/PUNE/261216/19:50,353.18, ,17124.9,315
28-12-2016,-,NEFT/000067710668/LIFE INSURANCE CORPORATION OF IN, ,15000,32124.9,2
29-12-2016,-,INB/462104464/MAX LIFE INSURANCE CO. LTD./Max Lif,6672, ,25452.9,315
30-12-2016,-,NEFT/CITIN16726154769/ADP INDIA PRIVATE LIMITED/ME, ,37307,62759.9,2
31-12-2016,-,ECOM PUR/BHARTI AIRTEL/MUMBAI/311216/23:43,250, ,62509.9,315
31-12-2016,-,912010041956734:Int.Pd:01-10-2016 to 31-12-2016, ,368,62877.9,315
02-01-2017,-,ATM-CASH/BOI GALLI KURUL/RAIGAD/010117,1000, ,61877.9,315
02-01-2017,-,IMPS/P2A/700113146968/002001213760ICIC0000020/,1000, ,60877.9,315
02-01-2017,-,IMPS/P2A/700113146968/912010041956734/010117, ,1000,61877.9,315
02-01-2017,-,POS/HOTEL SANMAN/RAIGAD/010117/13:39,960, ,60917.9,315
02-01-2017,-,POS/VARSHA./PUNE/010117/22:12,258, ,60659.9,315
02-01-2017,-,IMPS/P2A/700201102381/918698972467/Balance, ,1090,61749.9,100
02-01-2017,-,POS/MC DONALDS/PUNE/020117/19:42,112.91, ,61636.99,315
02-01-2017,-,MOB/TPFT/SWAPNIL NEGI/916010022397367, ,1000,62636.99,1564
03-01-2017,-,NEFT/MB/AXMB170032178388/kokil owner,6667, ,55969.99,2
04-01-2017,-,POS/INCOGNITO/PUNE/040117/20:00,1305, ,54664.99,315
04-01-2017,-,POS/MC DONALDS/PUNE/040117/20:03,112.91, ,54552.08,315
05-01-2017,-,NEFT/MB/AXMB170053049951/internet,1000, ,53552.08,73
05-01-2017,-,ECOM PUR/www.airtel.in/Mumbai/050117/10:36,200, ,53352.08,315
06-01-2017,-,POS/THE K FACTORY/PUNE/060117/20:52,742, ,52610.08,315
07-01-2017,-,MOB/TPFT/DEEPAK PANDE/043010100001767,1300, ,51310.08,315
09-01-2017,-,POS/SHREE SAGAR CHEMI/PUNE/080117/20:53,150, ,51160.08,315
09-01-2017,-,POS/MOZZARS/PUNE/080117/21:06,387, ,50773.08,315
09-01-2017,-,AXISDIRECT/A139101/09-01-2017/10:01,2500, ,48273.08,315
09-01-2017,-,POS/MC DONALDS/PUNE/090117/14:12,221.6, ,48051.48,315
09-01-2017,-,AXISDIRECT/A158057/09-01-2017/05:01,7968.94, ,40082.54,315
12-01-2017,-,POS/D MART/PUNE/120117/18:02,287.8, ,39794.74,315
12-01-2017,-,POS/ETERNIA./PUNE/120117/22:43,1858, ,37936.74,315
16-01-2017,-,ECOM PUR/BookMyShow_Pa/SBIPG/160117/20:48,738, ,37198.74,315
17-01-2017,-,POS/MC DONALDS/PUNE/170117/19:06,494.88, ,36703.86,315
18-01-2017,-,NEFT/MB/AXMB170187509417/Annapurna,340, ,36363.86,693
18-01-2017,-,NEFT/MB/AXMB170187509986/Prasanta,240, ,36123.86,693
18-01-2017,-,POS/MENCHIES /PUNE/180117/22:46,303, ,35820.86,315
19-01-2017,-,Consolidated DP Charges,38.33, ,35782.53,315
19-01-2017,-,POS/D MART/PUNE/190117/21:48,84.6, ,35697.93,315
20-01-2017,-,POS/MC DONALDS/PUNE/200117/14:37,186.78, ,35511.15,315
21-01-2017,-,ATM-CASH/kbl pune-baner/PUNE/210117,1500, ,34011.15,315
23-01-2017,-,ECOM PUR/MSRTC/MUMBAI/220117/14:09,447.29, ,33563.86,315
23-01-2017,-,POS/CHAITANYA PARANTH/PUNE/220117/22:00,330, ,33233.86,315
24-01-2017,-,ECOM PUR/BOOKMYSHOW CO/GURGAON/240117/13:17,1281, ,31952.86,315
24-01-2017,-,ECOM PUR/REDBUS IN/GURGAON/240117/22:25,3811, ,28141.86,315
26-01-2017,-,ECOM PUR/www.airtel.in/Mumbai/260117/12:14,146, ,27995.86,315
26-01-2017,-,ATM-CASH/SBI  SBI CALANGUTE/NORTH GOA/260117,2000, ,25995.86,315
26-01-2017,-,ATM-CASH/SBI  SBI CALANGUTE/NORTH GOA/260117,1500, ,24495.86,315
26-01-2017,-,POS/REIRA PETRO/CALANGUTE/260117/21:10,600, ,23895.86,315
27-01-2017,-,ECOM PUR/MAKEMYTRIP I/GURGAON/270117/09:47,5431, ,18464.86,315
30-01-2017,-,POS/SHREE GURUKRIPA E/GOA/290117/11:54,380, ,18084.86,315
30-01-2017,-,ATM-CASH/YBL CALANGUTE/CALANGUTE/290117,3000, ,15084.86,315
30-01-2017,-,MOB/MBR/MBSO5AFP2469/9822089135/chutiya,69, ,15015.86,315
30-01-2017,-,POS/KAMAKI LOUNGE BAR/CALANGUTE/290117/16:13,360, ,14655.86,315
31-01-2017,-,NEFT/CITIN17738925324/ADP INDIA PRIVATE LIMITED/ME, ,37320,51975.86,248
31-01-2017,-,MOB/TPFT/PRAKASH PANDE/911010039129543, ,2000,53975.86,1436
01-02-2017,-,NEFT/MB/AXMB170321001769/Aashish,6667, ,47308.86,514
02-02-2017,-,POS/COPA CABANA/PUNE/020217/19:54,636, ,46672.86,315
03-02-2017,-,ECOM PUR/BOOKMYSHOW CO/GURGAON/030217/11:49,492, ,46180.86,315
04-02-2017,-,POS/CAFE COFFEE DAY/SHINDE COMPLE/040217/18:02,508, ,45672.86,315
04-02-2017,-,POS/APACHE THE FLUID/PUNE/040217/20:20,4454, ,41218.86,315
06-02-2017,-,POS/THE CHEESE/PUNE/050217/20:44,300, ,40918.86,315
07-02-2017,-,AXISDIRECT/A728633/07-02-2017/10:02,2500, ,38418.86,315
07-02-2017,-,REFUND/REIRA PETRO SER/26-01-17, ,4.5,38423.36,100
07-02-2017,-,AXISDIRECT/A749191/07-02-2017/05:02,8694.55, ,29728.81,315
07-02-2017,-,POS/FOUR SEASONS./PUNE/070217/18:47,900, ,28828.81,315
07-02-2017,-,IMPS/P2A/703821261374/918698972467/Balance clear, ,280,29108.81,100
07-02-2017,-,POS/MC DONALDS/PUNE/070217/23:22,186.78, ,28922.03,315
08-02-2017,-,POS/D MART/PUNE/080217/19:10,220.8, ,28701.23,315
10-02-2017,-,POS/DOMINOS PIZZA./PUNE/100217/15:39,60, ,28641.23,315
10-02-2017,-,POS/THEOS /PUNE/100217/21:14,744, ,27897.23,315
10-02-2017,-,POS/CHOCOLATE BICLATE/PUNE/100217/21:27,600, ,27297.23,315
11-02-2017,-,ECOM PUR/Paytm Mobile/Noida/110217/20:23,534, ,26763.23,315
13-02-2017,-,POS/DMART Baner/PUNE/120217/10:15,179, ,26584.23,315
13-02-2017,-,POS/MC DONALDS/PUNE/130217/22:32,158.29, ,26425.94,315
14-02-2017,-,ATM-CASH-AXIS/TPAN18931/6239/140217/PUNE,1000, ,25425.94,315
14-02-2017,-,POS/RUCHIRA WINES/PUNE/140217/20:41,418, ,25007.94,315
16-02-2017,-,ATM-CASH-AXIS/TPAN18931/6875/160217/PUNE,1000, ,24007.94,315
16-02-2017,-,POS/MC DONALDS/PUNE/160217/18:40,365.1, ,23642.84,315
17-02-2017,-,ATM-CASH/AUNDH RD WAKAD PUN/PUNE/170217,400, ,23242.84,315
20-02-2017,-,POS/Bhawani General S/MUMBAI/190217/13:05,300, ,22942.84,315
20-02-2017,-,POS/MORE MEGASTORE/THANE/190217/14:31,1493, ,21449.84,315
20-02-2017,-,POS/INTOUCH LEATHER H/THANE/190217/15:19,2630, ,18819.84,315
22-02-2017,-,REFUND\MAKEMYTRIP INDIA\REFUND DT.27-JAN-17, ,5431,24250.84,100
23-02-2017,-,NEFT/MB/AXMB170547032902/Prasanta,210, ,24040.84,4
23-02-2017,-,NEFT/MB/AXMB170547032447/Annapurna,529, ,23511.84,4
23-02-2017,-,ECOM PUR/www.airtel.in/Mumbai/230217/20:45,146, ,23365.84,315
23-02-2017,-,POS/CAFE F5/PUNE/230217/21:42,320, ,23045.84,315
27-02-2017,-,POS/D MART/PUNE/260217/13:01,666, ,22379.84,315
27-02-2017,-,POS/WOODS/PUNE/270217/21:25,590, ,21789.84,315
28-02-2017,-,NEFT/CITIN17749601838/ADP INDIA PRIVATE LIMITED/ME, ,36645,58434.84,755
28-02-2017,-,MOB/TPFT/SWAPNIL NEGI/916010022397367, ,1000,59434.84,1564
28-02-2017,-,POS/ETERNIA./PUNE/280217/23:22,3264, ,56170.84,315
01-03-2017,-,NEFT/MB/AXMB170608620320/Aashish,6667, ,49503.84,51
01-03-2017,-,POS/MC DONALDS/PUNE/010317/19:57,614.15, ,48889.69,315
03-03-2017,-,ATM-CASH/AUNDH RD WAKAD PUN/PUNE/030317,400, ,48489.69,315
06-03-2017,-,MOB/TPFT/SWAPNIL NEGI/916010022397367, ,1133,49622.69,1564
06-03-2017,-,ECOM PUR/www.airtel.in/Mumbai/060317/12:38,349, ,49273.69,315
07-03-2017,-,AXISDIRECT/B349370/07-03-2017/09:03,2500, ,46773.69,315
07-03-2017,-,AXISDIRECT/B367522/07-03-2017/05:03,8427.2, ,38346.49,315
08-03-2017,-,POS/HIDDEN PLACE/PUNE/080317/18:59,2376, ,35970.49,315
08-03-2017,-,ECOM PUR/MAKEMYTRIP I/GURGAON/270117/09:47, ,5431,41401.49,100
11-03-2017,-,ECOM PUR/Paytm Mobile/Noida/110317/14:43,940, ,40461.49,315
11-03-2017,-,POS/CHAITANYA PARANTH/PUNE/110317/16:15,120, ,40341.49,315
12-03-2017,-,ECOM PUR/BOOKMYSHOW/MUMBAI/120317/16:12,123, ,40218.49,315
12-03-2017,-,ECOM PUR/BOOKMYSHOW/MUMBAI/120317/16:15,123, ,40095.49,315
12-03-2017,-,ECOM PUR/Paytm Mobile/Noida/120317/21:46,200, ,39895.49,315
12-03-2017,-,POS/Jaym Life Venture/PUNE/120317/23:11,201, ,39694.49,315
13-03-2017,-,ATM-CASH/kbl pune-baner/PUNE/130317,800, ,38894.49,315
13-03-2017,-,POS/PASTA IN PIZZA/PUNE/130317/15:16,349, ,38545.49,315
15-03-2017,-,POS/CHAITANYA PARANTH/PUNE/150317/22:34,240, ,38305.49,315
18-03-2017,-,ATM-CASH/SBH-BANER/PUNE/180317,1000, ,37305.49,315
20-03-2017,-,POS/APACHE THE FLUID/PUNE/200317/20:44,2260, ,35045.49,315
20-03-2017,-,ATM-CASH/BANER AUNDH ROAD/PUNE/200317,2500, ,32545.49,315
23-03-2017,-,POS/SIDDHIVINAYAK REF/PUNE/230317/19:02,46, ,32499.49,315
24-03-2017,-,ATM-CASH/kbl pune-baner/PUNE/240317,900, ,31599.49,315
25-03-2017,-,POS/MODI MOTORS/THANE/250317/18:00,9930, ,21669.49,315
27-03-2017,-,INB/IFT/DEEPAK PANDE/TPARTY TRANSFER, ,9932,31601.49,327
28-03-2017,-,POS/KAUSHAL ENTERPRIS/PUNE/280317/11:14,359, ,31242.49,315
28-03-2017,-,POS/MAULI PETROLIUM/PUNE/280317/22:43,100, ,31142.49,315
29-03-2017,-,IMPS/P2A/708802498768/918698972467/Balance clear, ,904,32046.49,100
30-03-2017,-,POS/CHAITANYA PARANTH/PUNE/300317/21:24,80, ,31966.49,315
31-03-2017,-,NEFT/CITIN17761749866/ADP INDIA PRIVATE LIMITED/ME, ,37467,69433.49,2
31-03-2017,-,POS/SIDHARTH MADHUKAR/Pune/310317/19:37,165, ,69268.49,315
31-03-2017,-,912010041956734:Int.Pd:01-01-2017 to 31-03-2017, ,355,69623.49,315
03-04-2017,-,POS/CHAITANYA PARANTH/PUNE/010417/13:44,290, ,69333.49,315
03-04-2017,-,IMPS/P2A/709115124333/917895336444/, ,10000,79333.49,100
03-04-2017,-,ECOM PUR/PAYTM/NOIDA/020417/10:49,825, ,78508.49,315
03-04-2017,-,NEFT/MB/AXMB170936995683/kokil owner,20000, ,58508.49,3
03-04-2017,-,ECOM PUR/www.airtel.in/Mumbai/030417/10:13,349, ,58159.49,315
03-04-2017,-,POS/CAFE PETERDONUTS/PUNE/030417/20:13,571, ,57588.49,315
04-04-2017,-,NEFT/MB/AXMB170947964604/Annapurna,265, ,57323.49,115
04-04-2017,-,NEFT/MB/AXMB170947965000/Prasanta,180, ,57143.49,115
04-04-2017,-,ATM-CASH/CUMMINS BALEWADI/PUNE/040417,600, ,56543.49,315
06-04-2017,-,POS/MC DONALDS/PUNE/060417/13:36,116.06, ,56427.43,315
06-04-2017,-,ATM-CASH/kbl pune-baner/PUNE/060417,900, ,55527.43,315
07-04-2017,-,AXISDIRECT/C155627/07-04-2017/09:04,2500, ,53027.43,315
07-04-2017,-,AXISDIRECT/C187655/07-04-2017/08:04,8762.73, ,44264.7,315
08-04-2017,-,POS/VIVANTA BY TAJ PU/PUNE/080417/14:58,2609, ,41655.7,315
09-04-2017,-,ATM-CASH/BANER ONSITE/PUNE/090417,1200, ,40455.7,315
09-04-2017,-,ECOM PUR/ptm paytm/NOIDA/090417/20:01,374, ,40081.7,315
09-04-2017,-,ECOM PUR/MYNTRA DESIGN/MUMBAI/090417/21:57,1103.76, ,38977.94,315
11-04-2017,-,POS/SUBWAY/PUNE/110417/20:05,155, ,38822.94,315
12-04-2017,-,NEFT/MB/AXMB171021308944/Annapurna,454, ,38368.94,1373
12-04-2017,-,NEFT/MB/AXMB171021309163/Prasanta,240, ,38128.94,2184
13-04-2017,-,Consolidated DP Charges,115, ,38013.94,315
15-04-2017,-,ECOM PUR/Paytm Mobile/Noida/150417/12:45,970, ,37043.94,315
17-04-2017,-,POS/THEOS /PUNE/170417/20:31,647, ,36396.94,315
17-04-2017,-,POS/CHAITANYA PARANTH/PUNE/170417/22:19,180, ,36216.94,315
18-04-2017,-,POS/SMART LIFE CHEMIS/PUNE/180417/23:44,40, ,36176.94,315
19-04-2017,-,ATM-CASH/kbl pune-baner/PUNE/190417,500, ,35676.94,315
22-04-2017,-,ECOM PUR/PAY*BOOKMYSHO/GURGAON/220417/10:50,442.8, ,35234.14,315
22-04-2017,-,POS/MC DONALDS/PUNE/220417/20:47,250.07, ,34984.07,315
24-04-2017,-,POS/THE K FACTORY/PUNE/230417/23:12,479, ,34505.07,315
25-04-2017,-,REFUND/MAULI PETROLIUM\S NO 274 BANER-280317, ,0.75,34505.82,100
27-04-2017,-,POS/DMART Baner/PUNE/270417/20:43,291.4, ,34214.42,315
28-04-2017,-,NEFT/CITIN17773508454/ADP INDIA PRIVATE LIMITED/ME, ,38373,72587.42,248
29-04-2017,-,POS/MC DONALDS/PUNE/290417/18:18,168.82, ,72418.6,315
29-04-2017,-,POS/PH SAPPHIRE./PUNE/290417/19:35,130, ,72288.6,315
30-04-2017,-,ECOM PUR/ITUNES.COM/BI/ITUNES.COM/300417/18:37,60, ,72228.6,315
01-05-2017,-,ECOM PUR/BHARTI AIRTEL/MUMBAI/010517/08:47,399, ,71829.6,315
01-05-2017,-,POS/D MART/PUNE/010517/17:27,149, ,71680.6,315
01-05-2017,-,IMPS/P2A/712123841819/917895336444/, ,13932,85612.6,100
02-05-2017,-,NEFT/MB/AXMB171226018493/kokil owner,20000, ,65612.6,1034
02-05-2017,-,ECOM PUR/ptm paytm/NOIDA/020517/09:41,1000, ,64612.6,315
02-05-2017,-,ATM-CASH/kbl pune-baner/PUNE/020517,900, ,63712.6,315
03-05-2017,-,POS/SUBWAY/PUNE/030517/13:13,155, ,63557.6,315
03-05-2017,-,IMPS/P2A/712400546101/918698972467/Wazzzaaa, ,332,63889.6,100
08-05-2017,-,POS/HOTEL VAISHALI/PUNE/070517/09:56,770, ,63119.6,315
08-05-2017,-,MOB/TPFT/SWAPNIL NEGI/916010022397367, ,766,63885.6,1564
08-05-2017,-,AXISDIRECT/C869576/08-05-2017/10:05,2500, ,61385.6,315
08-05-2017,-,AXISDIRECT/C892579/08-05-2017/05:05,9093.98, ,52291.62,315
10-05-2017,-,POS/THE K FACTORY/PUNE/100517/22:31,661, ,51630.62,315
11-05-2017,-,POS/MC DONALDS/PUNE/110517/13:26,223.7, ,51406.92,315
13-05-2017,-,ECOM PUR/MSRTC/MUMBAI/130517/23:23,462.33, ,50944.59,315
15-05-2017,-,ECOM PUR/ptm paytm/NOIDA/150517/23:19,1100, ,49844.59,315
17-05-2017,-,ECOM PUR/RSP*RAZORPAY/JAIPUR/170517/02:28,300, ,49544.59,315
18-05-2017,-,ECOM PUR/BIGTREE ENTER/MUMBAI/180517/09:37,137.32, ,49407.27,315
18-05-2017,-,PUR/REV/ITUNES.COM/BILL /DT.30-APR-17, ,60,49467.27,100
20-05-2017,-,POS/THE K FACTORY/PUNE/200517/21:49,4187, ,45280.27,315
24-05-2017,-,INB/494786509/ATOM STOCK BROKERS/Trading912010041,20000, ,25280.27,315
25-05-2017,-,POS/KIMI S KITCHEN EN/PUNE/250517/21:02,220, ,25060.27,315
27-05-2017,-,ECOM PUR/paywww mcdel/GURGAON/270517/14:28,330, ,24730.27,315
29-05-2017,-,POS/CHAITANYA PARANTH/PUNE/280517/17:09,280, ,24450.27,315
